Year,Female,Male,Total,Countries
1915,59864,63133,122997,Sweden
1916,59102,62577,121679,Sweden
1917,58800,62055,120855,Sweden
1918,57188,60767,117955,Sweden
1919,55841,59352,115193,Sweden
1920,67211,71542,138753,Sweden
1921,62176,65547,127723,Sweden
1922,56875,60071,116946,Sweden
1923,54862,58573,113435,Sweden
1924,53102,55953,109055,Sweden
1925,51553,54739,106292,Sweden
1926,49696,52311,102007,Sweden
1927,47664,50330,97994,Sweden
1928,47653,50215,97868,Sweden
1929,45104,47757,92861,Sweden
1930,46015,48205,94220,Sweden
1931,44292,46782,91074,Sweden
1932,43755,46024,89779,Sweden
1933,41201,43819,85020,Sweden
1934,41298,43794,85092,Sweden
1935,41516,44390,85906,Sweden
1936,43319,45619,88938,Sweden
1937,43840,46533,90373,Sweden
1938,45698,48248,93946,Sweden
1939,47420,49960,97380,Sweden
1940,46552,49226,95778,Sweden
1941,48575,51152,99727,Sweden
1942,55355,58606,113961,Sweden
1943,61062,64330,125392,Sweden
1944,65267,69724,134991,Sweden
1945,65433,69940,135373,Sweden
1946,64369,68228,132597,Sweden
1947,62550,66229,128779,Sweden
1948,61686,64997,126683,Sweden
1949,58800,62472,121272,Sweden
1950,55759,59655,115414,Sweden
1951,53370,56798,110168,Sweden
1952,53313,56879,110192,Sweden
1953,53304,56840,110144,Sweden
1954,50915,54181,105096,Sweden
1955,52078,55227,107305,Sweden
1956,51935,56025,107960,Sweden
1957,52306,54862,107168,Sweden
1958,50988,54514,105502,Sweden
1959,50519,54224,104743,Sweden
1960,49807,52412,102219,Sweden
1961,50694,53807,104501,Sweden
1962,52167,55117,107284,Sweden
1963,54577,58326,112903,Sweden
1964,59783,62881,122664,Sweden
1965,59650,63156,122806,Sweden
1966,59708,63646,123354,Sweden
1967,58832,62528,121360,Sweden
1968,54966,58121,113087,Sweden
1969,51994,55628,107622,Sweden
1970,53608,56542,110150,Sweden
1971,55410,59074,114484,Sweden
1972,54369,57904,112273,Sweden
1973,53252,56411,109663,Sweden
1974,53293,56581,109874,Sweden
1975,50390,53242,103632,Sweden
1976,47790,50555,98345,Sweden
1977,46528,49529,96057,Sweden
1978,45404,47844,93248,Sweden
1979,46842,49413,96255,Sweden
1980,47204,49860,97064,Sweden
1981,45934,48131,94065,Sweden
1982,45016,47732,92748,Sweden
1983,44467,47313,91780,Sweden
1984,45549,48340,93889,Sweden
1985,47715,50748,98463,Sweden
1986,49552,52398,101950,Sweden
1987,51134,53565,104699,Sweden
1988,54259,57821,112080,Sweden
1989,56340,59683,116023,Sweden
1990,60366,63572,123938,Sweden
1991,60008,63729,123737,Sweden
1992,59655,63193,122848,Sweden
1993,57669,60329,117998,Sweden
1994,54928,57329,112257,Sweden
1995,50208,53214,103422,Sweden
1996,46637,48660,95297,Sweden
1997,43991,46511,90502,Sweden
1998,43088,45940,89028,Sweden
1999,42943,45230,88173,Sweden
2000,43821,46620,90441,Sweden
2001,44328,47138,91466,Sweden
2002,46628,49187,95815,Sweden
2003,48043,51114,99157,Sweden
2004,48953,51975,100928,Sweden
2005,49310,52036,101346,Sweden
2006,51430,54483,105913,Sweden
2007,52162,55259,107421,Sweden
2008,52949,56352,109301,Sweden
2009,54237,57564,111801,Sweden
2010,56256,59385,115641,Sweden
2011,54565,57205,111770,Sweden
2012,55006,58171,113177,Sweden
2013,55121,58472,113593,Sweden
2014,55809,59098,114907,Sweden
2015,55368,59502,114870,Sweden
2016,57226,60199,117425,Sweden
2017,56160,59256,115416,Sweden
2018,56298,59534,115832,Sweden
2019,55521,59002,114523,Sweden
2020,54822,58255,113077,Sweden
2021,55778,58485,114263,Sweden
2022,50858,53876,104734,Sweden
1871,37829,39804,77633,Switzerland
1872,39061,41268,80329,Switzerland
1873,39198,41374,80572,Switzerland
1874,40592,42459,83051,Switzerland
1875,42942,44637,87579,Switzerland
1876,44042,46744,90786,Switzerland
1877,43252,45992,89244,Switzerland
1878,42940,44893,87833,Switzerland
1879,41998,44182,86180,Switzerland
1880,40979,43186,84165,Switzerland
1881,41613,43529,85142,Switzerland
1882,40249,42440,82689,Switzerland
1883,39852,42122,81974,Switzerland
1884,39725,41846,81571,Switzerland
1885,39265,41084,80349,Switzerland
1886,39619,41144,80763,Switzerland
1887,39783,41504,81287,Switzerland
1888,39532,41566,81098,Switzerland
1889,39720,41456,81176,Switzerland
1890,38454,40094,78548,Switzerland
1891,40868,42728,83596,Switzerland
1892,40665,42460,83125,Switzerland
1893,41481,43416,84897,Switzerland
1894,41224,42918,84142,Switzerland
1895,41154,43819,84973,Switzerland
1896,43238,45190,88428,Switzerland
1897,44070,46008,90078,Switzerland
1898,45234,46559,91793,Switzerland
1899,46190,48282,94472,Switzerland
1900,46093,48223,94316,Switzerland
1901,47709,49319,97028,Switzerland
1902,47014,49467,96481,Switzerland
1903,45988,47836,93824,Switzerland
1904,46394,48473,94867,Switzerland
1905,46326,48327,94653,Switzerland
1906,46658,48937,95595,Switzerland
1907,46063,48445,94508,Switzerland
1908,47084,49161,96245,Switzerland
1909,46145,47967,94112,Switzerland
1910,45593,47921,93514,Switzerland
1911,44762,46558,91320,Switzerland
1912,44865,47331,92196,Switzerland
1913,43752,46005,89757,Switzerland
1914,42372,44958,87330,Switzerland
1915,36978,38567,75545,Switzerland
1916,35803,37857,73660,Switzerland
1917,35269,36796,72065,Switzerland
1918,35354,37304,72658,Switzerland
1919,35279,36846,72125,Switzerland
1920,39322,41868,81190,Switzerland
1921,39456,41352,80808,Switzerland
1922,37168,39122,76290,Switzerland
1923,36774,38777,75551,Switzerland
1924,36102,37406,73508,Switzerland
1925,35450,37120,72570,Switzerland
1926,35269,36849,72118,Switzerland
1927,33694,35839,69533,Switzerland
1928,34005,35589,69594,Switzerland
1929,33891,35115,69006,Switzerland
1930,33989,35866,69855,Switzerland
1931,33298,34951,68249,Switzerland
1932,33435,35215,68650,Switzerland
1933,33195,34314,67509,Switzerland
1934,32686,34591,67277,Switzerland
1935,32137,34241,66378,Switzerland
1936,31747,33219,64966,Switzerland
1937,30529,31951,62480,Switzerland
1938,31083,32707,63790,Switzerland
1939,31086,32751,63837,Switzerland
1940,31483,32632,64115,Switzerland
1941,35216,36710,71926,Switzerland
1942,38511,40364,78875,Switzerland
1943,40609,42440,83049,Switzerland
1944,41632,43995,85627,Switzerland
1945,42862,45660,88522,Switzerland
1946,43344,45782,89126,Switzerland
1947,42549,45175,87724,Switzerland
1948,42806,44957,87763,Switzerland
1949,41475,43833,85308,Switzerland
1950,41115,43661,84776,Switzerland
1951,39694,42209,81903,Switzerland
1952,40649,42900,83549,Switzerland
1953,40458,42571,83029,Switzerland
1954,41027,42714,83741,Switzerland
1955,41523,43808,85331,Switzerland
1956,42663,45249,87912,Switzerland
1957,44237,46586,90823,Switzerland
1958,44490,46931,91421,Switzerland
1959,45248,47725,92973,Switzerland
1960,46185,48187,94372,Switzerland
1961,48581,50657,99238,Switzerland
1962,50870,53452,104322,Switzerland
1963,53746,56247,109993,Switzerland
1964,55034,57856,112890,Switzerland
1965,54187,57648,111835,Switzerland
1966,53323,56415,109738,Switzerland
1967,52402,55015,107417,Switzerland
1968,51191,53939,105130,Switzerland
1969,49990,52530,102520,Switzerland
1970,47981,51235,99216,Switzerland
1971,46850,49411,96261,Switzerland
1972,44163,47179,91342,Switzerland
1973,42438,45080,87518,Switzerland
1974,41021,43486,84507,Switzerland
1975,38055,40409,78464,Switzerland
1976,36499,37700,74199,Switzerland
1977,35300,37529,72829,Switzerland
1978,34648,36727,71375,Switzerland
1979,35134,36852,71986,Switzerland
1980,35944,37717,73661,Switzerland
1981,35682,38065,73747,Switzerland
1982,36589,38327,74916,Switzerland
1983,35686,37973,73659,Switzerland
1984,36177,38533,74710,Switzerland
1985,36719,37965,74684,Switzerland
1986,37416,38904,76320,Switzerland
1987,37318,39187,76505,Switzerland
1988,39120,41225,80345,Switzerland
1989,39502,41678,81180,Switzerland
1990,41025,42914,83939,Switzerland
1991,41876,44324,86200,Switzerland
1992,42492,44418,86910,Switzerland
1993,40730,43032,83762,Switzerland
1994,40386,42594,82980,Switzerland
1995,40113,42090,82203,Switzerland
1996,40299,42708,83007,Switzerland
1997,39284,41300,80584,Switzerland
1998,38521,40428,78949,Switzerland
1999,38152,40256,78408,Switzerland
2000,38056,40402,78458,Switzerland
2001,35172,37123,72295,Switzerland
2002,35054,37318,72372,Switzerland
2003,34946,36902,71848,Switzerland
2004,35742,37340,73082,Switzerland
2005,35334,37569,72903,Switzerland
2006,35605,37766,73371,Switzerland
2007,36310,38184,74494,Switzerland
2008,37142,39549,76691,Switzerland
2009,37879,40407,78286,Switzerland
2010,39179,41111,80290,Switzerland
2011,39182,41626,80808,Switzerland
2012,39729,42435,82164,Switzerland
2013,40136,42595,82731,Switzerland
2014,41437,43850,85287,Switzerland
2015,41910,44649,86559,Switzerland
2016,42951,44932,87883,Switzerland
2017,42508,44873,87381,Switzerland
2018,42838,45013,87851,Switzerland
2019,42049,44123,86172,Switzerland
2020,41615,44299,85914,Switzerland
2021,43716,45928,89644,Switzerland
2022,39907,42464,82371,Switzerland
1906,56987,62120,119107,Taiwan
1907,58466,63290,121756,Taiwan
1908,57807,61993,119800,Taiwan
1909,61620,65666,127286,Taiwan
1910,64099,68042,132141,Taiwan
1911,66100,69558,135658,Taiwan
1912,66632,69990,136622,Taiwan
1913,66797,70170,136967,Taiwan
1914,68695,72755,141450,Taiwan
1915,66814,70855,137669,Taiwan
1916,62768,65837,128605,Taiwan
1917,68984,73430,142414,Taiwan
1918,67701,71764,139465,Taiwan
1919,66358,70349,136707,Taiwan
1920,68609,72704,141313,Taiwan
1921,75524,79635,155159,Taiwan
1922,75527,79004,154531,Taiwan
1923,71740,75244,146984,Taiwan
1924,77139,81549,158688,Taiwan
1925,77764,81659,159423,Taiwan
1926,85889,89913,175802,Taiwan
1927,86180,91242,177422,Taiwan
1928,89272,94427,183699,Taiwan
1929,92050,97981,190031,Taiwan
1930,96554,101632,198186,Taiwan
1931,101343,106794,208137,Taiwan
1932,99847,105066,204913,Taiwan
1933,102735,109002,211737,Taiwan
1934,106656,112533,219189,Taiwan
1935,109858,116122,225980,Taiwan
1936,108645,115316,223961,Taiwan
1937,115242,121848,237090,Taiwan
1938,114226,121595,235821,Taiwan
1939,119145,125562,244707,Taiwan
1940,119973,126718,246691,Taiwan
1941,117030,124864,241894,Taiwan
1942,117380,125416,242796,Taiwan
1943,118939,128488,247427,Taiwan
1949,146187,154656,300843,Taiwan
1950,157564,166079,323643,Taiwan
1951,188086,197297,385383,Taiwan
1952,181578,191327,372905,Taiwan
1953,182575,191961,374536,Taiwan
1954,186372,197202,383574,Taiwan
1955,195922,207761,403683,Taiwan
1956,201482,212554,414036,Taiwan
1957,192193,202677,394870,Taiwan
1958,199560,211325,410885,Taiwan
1959,204787,216671,421458,Taiwan
1960,203088,216354,419442,Taiwan
1961,203526,216728,420254,Taiwan
1962,205137,218332,423469,Taiwan
1963,205727,218523,424250,Taiwan
1964,201807,215119,416926,Taiwan
1965,197550,209054,406604,Taiwan
1966,201780,213328,415108,Taiwan
1967,180585,193697,374282,Taiwan
1968,190618,203642,394260,Taiwan
1969,189122,201606,390728,Taiwan
1970,190847,203168,394015,Taiwan
1971,184486,195938,380424,Taiwan
1972,177617,188132,365749,Taiwan
1973,177377,189565,366942,Taiwan
1974,172083,183850,355933,Taiwan
1975,173566,184087,357653,Taiwan
1976,205416,218659,424075,Taiwan
1977,190700,202933,393633,Taiwan
1978,198482,213155,411637,Taiwan
1979,203557,218163,421720,Taiwan
1980,199494,212399,411893,Taiwan
1981,200187,214321,414508,Taiwan
1982,194242,207663,401905,Taiwan
1983,184317,196712,381029,Taiwan
1984,177836,190976,368812,Taiwan
1985,165953,177006,342959,Taiwan
1986,147774,158554,306328,Taiwan
1987,150347,162935,313282,Taiwan
1988,164371,177856,342227,Taiwan
1989,150032,162952,312984,Taiwan
1990,159928,176378,336306,Taiwan
1991,151900,167780,319680,Taiwan
1992,153099,168306,321405,Taiwan
1993,156634,169360,325994,Taiwan
1994,155004,168764,323768,Taiwan
1995,157065,169482,326547,Taiwan
1996,155356,168961,324317,Taiwan
1997,155558,169422,324980,Taiwan
1998,128818,140063,268881,Taiwan
1999,135617,148456,284073,Taiwan
2000,146671,160529,307200,Taiwan
2001,123556,134310,257866,Taiwan
2002,117617,129141,246758,Taiwan
2003,108229,119218,227447,Taiwan
2004,103336,114349,217685,Taiwan
2005,98768,107697,206465,Taiwan
2006,98142,107578,205720,Taiwan
2007,97141,106570,203711,Taiwan
2008,93718,102768,196486,Taiwan
2009,92185,99948,192133,Taiwan
2010,79669,86804,166473,Taiwan
2011,95400,102948,198348,Taiwan
2012,113114,121485,234599,Taiwan
2013,93807,101132,194939,Taiwan
2014,102131,109268,211399,Taiwan
2015,102293,110800,213093,Taiwan
2016,99980,107620,207600,Taiwan
2017,93755,100861,194616,Taiwan
2018,87299,93357,180656,Taiwan
2019,84262,90812,175074,Taiwan
1922,451357,473383,924740,United Kingdom 
1923,440170,459960,900130,United Kingdom 
1924,422340,442989,865329,United Kingdom 
1925,411627,430778,842405,United Kingdom 
1926,404019,421155,825174,United Kingdom 
1927,380776,396744,777520,United Kingdom 
1928,382845,400207,783052,United Kingdom 
1929,372504,389459,761963,United Kingdom 
1930,376612,392627,769239,United Kingdom 
1931,366275,383699,749974,United Kingdom 
1932,356219,373860,730079,United Kingdom 
1933,337416,354144,691560,United Kingdom 
1934,346390,365453,711843,United Kingdom 
1935,346129,365297,711426,United Kingdom 
1936,350923,369206,720129,United Kingdom 
1937,352118,371661,723779,United Kingdom 
1938,358543,377030,735573,United Kingdom 
1939,353449,373183,726632,United Kingdom 
1940,341846,360029,701875,United Kingdom 
1941,338509,357217,695726,United Kingdom 
1942,374434,397417,771851,United Kingdom 
1943,392916,417608,810524,United Kingdom 
1944,425301,452997,878298,United Kingdom 
1945,386077,409791,795868,United Kingdom 
1946,463635,491631,955266,United Kingdom 
1947,497816,527611,1025427,United Kingdom 
1948,438949,466233,905182,United Kingdom 
1949,415024,440274,855298,United Kingdom 
1950,396981,421440,818421,United Kingdom 
1951,386703,409942,796645,United Kingdom 
1952,385925,406992,792917,United Kingdom 
1953,390340,413929,804269,United Kingdom 
1954,386083,408686,794769,United Kingdom 
1955,383031,406284,789315,United Kingdom 
1956,401205,423932,825137,United Kingdom 
1957,413328,438138,851466,United Kingdom 
1958,422835,447662,870497,United Kingdom 
1959,425869,452692,878561,United Kingdom 
1960,445589,472697,918286,United Kingdom 
1961,458229,486136,944365,United Kingdom 
1962,473249,502386,975635,United Kingdom 
1963,481692,508468,990160,United Kingdom 
1964,492289,522383,1014672,United Kingdom 
1965,484346,512929,997275,United Kingdom 
1966,475220,504367,979587,United Kingdom 
1967,467104,494696,961800,United Kingdom 
1968,460066,487165,947231,United Kingdom 
1969,446944,473312,920256,United Kingdom 
1970,438959,464948,903907,United Kingdom 
1971,437454,464194,901648,United Kingdom 
1972,404163,429821,833984,United Kingdom 
1973,377114,402431,779545,United Kingdom 
1974,357868,379270,737138,United Kingdom 
1975,338275,359243,697518,United Kingdom 
1976,328170,347356,675526,United Kingdom 
1977,318934,338104,657038,United Kingdom 
1978,333637,353315,686952,United Kingdom 
1979,356428,378144,734572,United Kingdom 
1980,367673,386035,753708,United Kingdom 
1981,355871,374841,730712,United Kingdom 
1982,350004,368995,718999,United Kingdom 
1983,350418,370820,721238,United Kingdom 
1984,356022,373379,729401,United Kingdom 
1985,365489,385031,750520,United Kingdom 
1986,367578,387227,754805,United Kingdom 
1987,377615,397790,775405,United Kingdom 
1988,384158,403145,787303,United Kingdom 
1989,378844,398192,777036,United Kingdom 
1990,389617,408747,798364,United Kingdom 
1991,386016,406253,792269,United Kingdom 
1992,380571,400228,780799,United Kingdom 
1993,370802,390724,761526,United Kingdom 
1994,365399,385081,750480,United Kingdom 
1995,356749,375133,731882,United Kingdom 
1996,356768,376395,733163,United Kingdom 
1997,354204,372418,726622,United Kingdom 
1998,349431,367457,716888,United Kingdom 
1999,340532,359444,699976,United Kingdom 
2000,331088,347941,679029,United Kingdom 
2001,326414,342709,669123,United Kingdom 
2002,325622,343155,668777,United Kingdom 
2003,338971,356578,695549,United Kingdom 
2004,348410,367586,715996,United Kingdom 
2005,352525,370024,722549,United Kingdom 
2006,365651,382912,748563,United Kingdom 
2007,376931,397574,774505,United Kingdom 
2008,386262,405861,792123,United Kingdom 
2009,385105,405099,790204,United Kingdom 
2010,393516,413755,807271,United Kingdom 
2011,393866,413910,807776,United Kingdom 
2012,395912,417058,812970,United Kingdom 
2013,379204,399599,778803,United Kingdom 
2014,379583,400023,779606,United Kingdom 
2015,378182,398983,777165,United Kingdom 
2016,377128,397707,774835,United Kingdom 
2017,367858,387184,755042,United Kingdom 
2018,355684,375529,731213,United Kingdom 
2019,346220,366460,712680,United Kingdom 
2020,332346,349214,681560,United Kingdom 
1933,1122180,1184820,2307000,The United States of America
1934,1166072,1229928,2396000,The United States of America
1935,1158000,1219000,2377000,The United States of America
1936,1148000,1207000,2355000,The United States of America
1937,1175000,1238000,2413000,The United States of America
1938,1217000,1280000,2497000,The United States of America
1939,1201000,1265000,2466000,The United States of America
1940,1246000,1313000,2559000,The United States of America
1941,1316000,1387000,2703000,The United States of America
1942,1452000,1537000,2989000,The United States of America
1943,1510000,1593000,3103000,The United States of America
1944,1430000,1509000,2939000,The United States of America
1945,1391000,1467000,2858000,The United States of America
1946,1657000,1754000,3411000,The United States of America
1947,1857000,1960000,3817000,The United States of America
1948,1771000,1866000,3637000,The United States of America
1949,1777000,1872000,3649000,The United States of America
1950,1768000,1863000,3631000,The United States of America
1951,1863000,1960000,3823000,The United States of America
1952,1908000,2005000,3913000,The United States of America
1953,1931000,2034000,3965000,The United States of America
1954,1988000,2090000,4078000,The United States of America
1955,2001000,2103000,4104000,The United States of America
1956,2056000,2162000,4218000,The United States of America
1957,2101000,2207000,4308000,The United States of America
1958,2076000,2179000,4255000,The United States of America
1959,2104312,2207788,4312100,The United States of America
1960,2078142,2179708,4257850,The United States of America
1961,2082052,2186274,4268326,The United States of America
1962,2034896,2132466,4167362,The United States of America
1963,1996388,2101632,4098020,The United States of America
1964,1967328,2060162,4027490,The United States of America
1965,1833304,1927054,3760358,The United States of America
1966,1760412,1845862,3606274,The United States of America
1967,1717571,1803388,3520959,The United States of America
1968,1705238,1796326,3501564,The United States of America
1969,1753634,1846572,3600206,The United States of America
1970,1816008,1915378,3731386,The United States of America
1971,1733060,1822910,3555970,The United States of America
1972,1588484,1669927,3258411,The United States of America
1973,1528639,1608326,3136965,The United States of America
1974,1537844,1622114,3159958,The United States of America
1975,1531063,1613135,3144198,The United States of America
1976,1543352,1624436,3167788,The United States of America
1977,1620716,1705916,3326632,The United States of America
1978,1623885,1709394,3333279,The United States of America
1979,1703131,1791267,3494398,The United States of America
1980,1759642,1852616,3612258,The United States of America
1981,1768966,1860272,3629238,The United States of America
1982,1794861,1885676,3680537,The United States of America
1983,1773380,1865553,3638933,The United States of America
1984,1789651,1879490,3669141,The United States of America
1985,1832578,1927983,3760561,The United States of America
1986,1831679,1924868,3756547,The United States of America
1987,1858241,1951153,3809394,The United States of America
1988,1907086,2002424,3909510,The United States of America
1989,1971468,2069490,4040958,The United States of America
1990,2028717,2129495,4158212,The United States of America
1991,2009389,2101518,4110907,The United States of America
1992,1982917,2082097,4065014,The United States of America
1993,1951379,2048861,4000240,The United States of America
1994,1930178,2022589,3952767,The United States of America
1995,1903234,1996355,3899589,The United States of America
1996,1901014,1990480,3891494,The United States of America
1997,1895298,1985596,3880894,The United States of America
1998,1925348,2016205,3941553,The United States of America
1999,1932563,2026854,3959417,The United States of America
2000,1981845,2076969,4058814,The United States of America
2001,1968011,2057922,4025933,The United States of America
2002,1963747,2057979,4021726,The United States of America
2003,1996415,2093535,4089950,The United States of America
2004,2007391,2104661,4112052,The United States of America
2005,2019367,2118982,4138349,The United States of America
2006,2081318,2184237,4265555,The United States of America
2007,2108162,2208071,4316233,The United States of America
2008,2074305,2173389,4247694,The United States of America
2009,2016809,2113856,4130665,The United States of America
2010,1952451,2046935,3999386,The United States of America
2011,1929538,2024052,3953590,The United States of America
2012,1931407,2021434,3952841,The United States of America
2013,1919227,2012954,3932181,The United States of America
2014,1947375,2040701,3988076,The United States of America
2015,1942336,2036161,3978497,The United States of America
2016,1927692,2018183,3945875,The United States of America
2017,1882615,1972885,3855500,The United States of America
2018,1853533,1938179,3791712,The United States of America
2019,1830094,1917446,3747540,The United States of America
2020,1765555,1848092,3613647,The United States of America
2021,1790876,1873416,3664292,The United States of America
1946,365923,387570,753493,Ukraine
1947,344763,368231,712994,Ukraine
1948,368283,389500,757783,Ukraine
1949,443178,468463,911641,Ukraine
1950,409683,434902,844585,Ukraine
1951,415345,442707,858052,Ukraine
1952,410151,436283,846434,Ukraine
1953,385631,410021,795652,Ukraine
1954,409850,435278,845128,Ukraine
1955,383939,408757,792696,Ukraine
1956,398986,423583,822569,Ukraine
1957,411196,436585,847781,Ukraine
1958,423164,450319,873483,Ukraine
1959,427240,453312,880552,Ukraine
1960,426590,452178,878768,Ukraine
1961,409233,434249,843482,Ukraine
1962,399185,423966,823151,Ukraine
1963,385275,409694,794969,Ukraine
1964,359291,382377,741668,Ukraine
1965,334907,357246,692153,Ukraine
1966,346202,367290,713492,Ukraine
1967,338973,360408,699381,Ukraine
1968,337000,356064,693064,Ukraine
1969,335186,352805,687991,Ukraine
1970,349977,369236,719213,Ukraine
1971,358274,378417,736691,Ukraine
1972,362440,383256,745696,Ukraine
1973,350092,369468,719560,Ukraine
1974,359656,376960,736616,Ukraine
1975,360797,378060,738857,Ukraine
1976,363997,383072,747069,Ukraine
1977,354260,371957,726217,Ukraine
1978,356120,376067,732187,Ukraine
1979,358243,376945,735188,Ukraine
1980,361840,380649,742489,Ukraine
1981,357871,375312,733183,Ukraine
1982,362898,382693,745591,Ukraine
1983,392944,414167,807111,Ukraine
1984,384916,407119,792035,Ukraine
1985,371541,391234,762775,Ukraine
1986,385777,406797,792574,Ukraine
1987,369074,391777,760851,Ukraine
1988,362283,381773,744056,Ukraine
1989,335986,354995,690981,Ukraine
1990,318923,338279,657202,Ukraine
1991,306867,323946,630813,Ukraine
1992,290028,306757,596785,Ukraine
1993,270610,286857,557467,Ukraine
1994,252868,268677,521545,Ukraine
1995,238919,253942,492861,Ukraine
1996,225946,241265,467211,Ukraine
1997,214886,227695,442581,Ukraine
1998,203761,215477,419238,Ukraine
1999,188336,200872,389208,Ukraine
2000,185715,199411,385126,Ukraine
2001,182352,194126,376478,Ukraine
2002,188788,201900,390688,Ukraine
2003,198422,210167,408589,Ukraine
2004,207335,219924,427259,Ukraine
2005,206470,219616,426086,Ukraine
2006,224097,236271,460368,Ukraine
2007,229416,243241,472657,Ukraine
2008,247001,263588,510589,Ukraine
2009,247681,264844,512525,Ukraine
2010,240854,256835,497689,Ukraine
2011,243162,259433,502595,Ukraine
2012,251957,268748,520705,Ukraine
2013,243919,259738,503657,Ukraine
